Puzzle Level,Weak Propagation,Constraint Propagation,Fail First Search
Hard,0%,36%,100%
Medium,38%,49%,100%
Easy,91%,93%,100%
Easy,97%,98%,100%
Easy,99%,100%,100%
Hard,0%,29%,100%
Medium,0%,43%,100%
Hard,0%,39%,100%
Hard,0%,50%,100%
Hard,7%,7%,100%
Medium,24%,26%,100%
Hard,10%,42%,100%
Medium,37%,59%,100%
Easy,98%,99%,100%
Hard,8%,29%,100%
Easy,100%,100%,100%
Medium,23%,46%,100%
Medium,0%,13%,100%
Hard,8%,16%,100%
Medium,19%,29%,100%
Easy,91%,95%,100%
Easy,100%,100%,100%
Medium,24%,71%,100%
Easy,97%,97%,100%
Easy,97%,97%,100%
Hard,7%,39%,100%
Medium,7%,80%,100%
Medium,26%,38%,100%
Easy,91%,92%,100%
Hard,6%,22%,100%
Hard,1%,17%,100%
Medium,0%,14%,100%
Easy,93%,95%,100%
Medium,35%,62%,100%
Medium,37%,58%,100%
Easy,97%,99%,100%
Hard,10%,20%,100%
Medium,18%,59%,100%
Hard,3%,41%,100%
Medium,1%,8%,100%
Medium,25%,34%,100%
Easy,99%,100%,100%
Easy,94%,97%,100%
Easy,94%,100%,100%
Easy,96%,98%,100%
Medium,7%,38%,100%
Medium,21%,50%,100%
Hard,3%,4%,100%
Medium,31%,45%,100%
Hard,2%,27%,100%
Easy,93%,94%,100%
Easy,91%,92%,100%
Hard,9%,24%,100%
Hard,6%,40%,100%
Hard,8%,15%,100%
Medium,36%,58%,100%
Hard,8%,40%,100%
Medium,23%,33%,100%
Hard,4%,42%,100%
Hard,10%,47%,100%
Medium,20%,60%,100%
Easy,98%,100%,100%
Medium,21%,47%,100%
Easy,96%,98%,100%
Hard,6%,30%,100%
Medium,12%,69%,100%
Easy,95%,100%,100%
Hard,8%,26%,100%
Easy,92%,93%,100%
Medium,13%,43%,100%
Easy,90%,93%,100%
Hard,6%,37%,100%
Medium,33%,60%,100%
Medium,6%,80%,100%
Hard,6%,41%,100%
Medium,18%,30%,100%
Hard,9%,44%,100%
Hard,8%,19%,100%
Easy,94%,94%,100%
Easy,97%,100%,100%
Medium,19%,45%,100%
Easy,91%,93%,100%
Hard,6%,34%,100%
Medium,3%,34%,100%
Easy,98%,99%,100%
Easy,90%,93%,100%
Medium,6%,6%,100%
Hard,0%,27%,100%
Medium,20%,55%,100%
Hard,3%,6%,100%
Hard,7%,50%,100%
Medium,26%,64%,100%
Hard,0%,0%,100%
Hard,6%,28%,100%
Hard,5%,44%,100%
Hard,3%,43%,100%
Easy,91%,92%,100%
Hard,1%,21%,100%
Easy,97%,97%,100%
Hard,1%,1%,100%
